zone,province_th,district_th,province_key,district_key,is_whole_province,source_table,source_page_pdf,source_standard_page
1,เพชรบุรี,เขาย้อย,เพชรบุรี,เขาย้อย,False,Figure 1.4-5,41,27
1,ราชบุรี,ปากท่อ,ราชบุรี,ปากท่อ,False,Figure 1.4-5,41,27
1,ราชบุรี,วัดเพลง,ราชบุรี,วัดเพลง,False,Figure 1.4-5,41,27
1,ราชบุรี,เมืองราชบุรี,ราชบุรี,เมืองราชบุรี,False,Figure 1.4-5,41,27
2,ราชบุรี,ดำเนินสะดวก,ราชบุรี,ดำเนินสะดวก,False,Figure 1.4-5,41,27
2,ราชบุรี,บางแพ,ราชบุรี,บางแพ,False,Figure 1.4-5,41,27
2,นครปฐม,สามพราน,นครปฐม,สามพราน,False,Figure 1.4-5,41,27
2,นครปฐม,พุทธมณฑล,นครปฐม,พุทธมณฑล,False,Figure 1.4-5,41,27
2,นครปฐม,นครชัยศรี,นครปฐม,นครชัยศรี,False,Figure 1.4-5,41,27
2,นครปฐม,ดอนตูม,นครปฐม,ดอนตูม,False,Figure 1.4-5,41,27
2,นครปฐม,บางเลน,นครปฐม,บางเลน,False,Figure 1.4-5,41,27
2,นครปฐม,เมืองนครปฐม,นครปฐม,เมืองนครปฐม,False,Figure 1.4-5,41,27
3,สมุทรสาคร,*,สมุทรสาคร,*,True,Figure 1.4-5,41,27
3,สมุทรสงคราม,*,สมุทรสงคราม,*,True,Figure 1.4-5,41,27
4,นนทบุรี,*,นนทบุรี,*,True,Figure 1.4-5,41,27
5,กรุงเทพมหานคร,*,กรุงเทพมหานคร,*,True,Figure 1.4-5,41,27
5,สมุทรปราการ,*,สมุทรปราการ,*,True,Figure 1.4-5,41,27
6,พระนครศรีอยุธยา,ลาดบัวหลวง,พระนครศรีอยุธยา,ลาดบัวหลวง,False,Figure 1.4-5,41,27
6,พระนครศรีอยุธยา,บางไทร,พระนครศรีอยุธยา,บางไทร,False,Figure 1.4-5,41,27
6,พระนครศรีอยุธยา,บางปะอิน,พระนครศรีอยุธยา,บางปะอิน,False,Figure 1.4-5,41,27
6,พระนครศรีอยุธยา,วังน้อย,พระนครศรีอยุธยา,วังน้อย,False,Figure 1.4-5,41,27
6,พระนครศรีอยุธยา,เสนา,พระนครศรีอยุธยา,เสนา,False,Figure 1.4-5,41,27
6,พระนครศรีอยุธยา,อุทัย,พระนครศรีอยุธยา,อุทัย,False,Figure 1.4-5,41,27
6,พระนครศรีอยุธยา,ท่าเรือ,พระนครศรีอยุธยา,ท่าเรือ,False,Figure 1.4-5,41,27
6,พระนครศรีอยุธยา,บางบาล,พระนครศรีอยุธยา,บางบาล,False,Figure 1.4-5,41,27
6,พระนครศรีอยุธยา,เมืองพระนครศรีอยุธยา,พระนครศรีอยุธยา,เมืองพระนครศรีอยุธยา,False,Figure 1.4-5,41,27
7,ปทุมธานี,*,ปทุมธานี,*,True,Figure 1.4-5,41,27
8,นครนายก,บ้านนา,นครนายก,บ้านนา,False,Figure 1.4-5,41,27
8,นครนายก,ปากพลี,นครนายก,ปากพลี,False,Figure 1.4-5,41,27
8,นครนายก,เมืองนครนายก,นครนายก,เมืองนครนายก,False,Figure 1.4-5,41,27
9,นครนายก,องครักษ์,นครนายก,องครักษ์,False,Figure 1.4-5,41,27
9,ปราจีนบุรี,บ้านสร้าง,ปราจีนบุรี,บ้านสร้าง,False,Figure 1.4-5,41,27
9,ฉะเชิงเทรา,บางน้ำเปรี้ยว,ฉะเชิงเทรา,บางน้ำเปรี้ยว,False,Figure 1.4-5,41,27
9,ฉะเชิงเทรา,บางคล้า,ฉะเชิงเทรา,บางคล้า,False,Figure 1.4-5,41,27
9,ฉะเชิงเทรา,ราชสาสน์,ฉะเชิงเทรา,ราชสาสน์,False,Figure 1.4-5,41,27
9,ฉะเชิงเทรา,คลองเขื่อน,ฉะเชิงเทรา,คลองเขื่อน,False,Figure 1.4-5,41,27
9,ฉะเชิงเทรา,บ้านโพธิ์,ฉะเชิงเทรา,บ้านโพธิ์,False,Figure 1.4-5,41,27
9,ฉะเชิงเทรา,บางปะกง,ฉะเชิงเทรา,บางปะกง,False,Figure 1.4-5,41,27
9,ฉะเชิงเทรา,เมืองฉะเชิงเทรา,ฉะเชิงเทรา,เมืองฉะเชิงเทรา,False,Figure 1.4-5,41,27
10,ชลบุรี,พานทอง,ชลบุรี,พานทอง,False,Figure 1.4-5,41,27
10,ชลบุรี,เมืองชลบุรี,ชลบุรี,เมืองชลบุรี,False,Figure 1.4-5,41,27
