soil_class,S1_anchor_g,Fv,source_table,source_page_pdf,source_standard_page
A,0.1,0.8,Table 1.4-3,38,24
A,0.2,0.8,Table 1.4-3,38,24
A,0.3,0.8,Table 1.4-3,38,24
A,0.4,0.8,Table 1.4-3,38,24
A,0.5,0.8,Table 1.4-3,38,24
B,0.1,1.0,Table 1.4-3,38,24
B,0.2,1.0,Table 1.4-3,38,24
B,0.3,1.0,Table 1.4-3,38,24
B,0.4,1.0,Table 1.4-3,38,24
B,0.5,1.0,Table 1.4-3,38,24
C,0.1,1.7,Table 1.4-3,38,24
C,0.2,1.6,Table 1.4-3,38,24
C,0.3,1.5,Table 1.4-3,38,24
C,0.4,1.4,Table 1.4-3,38,24
C,0.5,1.3,Table 1.4-3,38,24
D,0.1,2.4,Table 1.4-3,38,24
D,0.2,2.0,Table 1.4-3,38,24
D,0.3,1.8,Table 1.4-3,38,24
D,0.4,1.6,Table 1.4-3,38,24
D,0.5,1.5,Table 1.4-3,38,24
E,0.1,3.5,Table 1.4-3,38,24
E,0.2,3.2,Table 1.4-3,38,24
E,0.3,2.8,Table 1.4-3,38,24
E,0.4,2.4,Table 1.4-3,38,24
E,0.5,2.4,Table 1.4-3,38,24
F,site_specific,site_specific,Table 1.4-3,38,24
